prenom,nom
Émile,Coüard-Luys
Émile,Molinier
Henri,Omont
Félix,Aubert
Marie-Pierre,Dion
Alfred,Coville
Camille,Couderc
Georges,Guigue
Maurice,Prou
Michel,Perret
Frantz,Funck-Brentano
Eugène,Lefèvre-Pontalis
Henri,Stein
Auguste,Bellemain
Camille,Enlart
Abel,Lefranc
Louis,Grandmaison
Léon,Dorez
Gustave,Dupont-Ferrier
Éphraïm,Mikhaël
Marcel,Poète
Eugène,Hubert
André,Réville
Max,Bruchet
Adolphe,Dieudonné
Henri,Courteault
Paul,Marichal
Léon,Levillain
Roger,Grand
René,Poupardin
Marcel,Thibault
Augustin,Cochin
Charles,De Lasteyrie
Charles,Samaran
Georges,Bourgin
Joseph,Roserot De Melin
Étienne,Fages
Pierre,Champion
René,Serpette De Bersaucourt
Auguste,Dumas
Ernest,Delmas
Roger,Martin Du Gard
Maurice,Jusselin
Robert,Burnand
René-Norbert,Sauvage
Alain,De Boüard
Marcel,Godet
Marcel,Aubert
Clovis,Brunel
